2023-11-27 16:54:36 WARN  FCFS:27 - FCFS先来先服务开始调度
2023-11-27 16:54:39 INFO  FCFS:70 - 进程 { 84819} 结束
2023-11-27 16:54:40 INFO  FCFS:70 - 进程 { 87152} 结束
2023-11-27 16:54:44 INFO  FCFS:70 - 进程 { 30858} 结束
2023-11-27 16:54:44 WARN  FCFS:29 - PJF优先级开始调度
2023-11-27 16:54:48 INFO  FCFS:70 - 进程 { 26256} 结束
2023-11-27 16:54:51 INFO  FCFS:70 - 进程 { 18724} 结束
2023-11-27 16:54:52 INFO  FCFS:70 - 进程 { 81480} 结束
2023-11-27 16:54:52 WARN  FCFS:29 - SJF短作业优先开始调度
2023-11-27 16:54:54 INFO  FCFS:70 - 进程 { 27235} 结束
2023-11-27 16:54:57 INFO  FCFS:70 - 进程 { 16880} 结束
2023-11-27 16:55:01 INFO  FCFS:70 - 进程 { 56046} 结束
